Comarques i Aran ;;
Institut d'Estadística de Catalunya;;
https://www.idescat.cat/codis/?id=50&n=10;;
Nivell;Codi;Nom
Municipi;430483;Corbera d'Ebre
Municipi;430568;Fatarella, la
Municipi;430640;Gandesa
Municipi;430712;Horta de Sant Joan
Municipi;431068;Pinell de Brai, el
Municipi;431107;Pobla de Massaluca, la
Municipi;431172;Prat de Comte
Municipi;431750;Vilalba dels Arcs
Comarca;38;Urgell
Municipi;250030;Agramunt
Municipi;250273;Anglesola
Municipi;250463;Belianes
Municipi;250501;Bellpuig
Municipi;250707;Castellserà
Municipi;250740;Ciutadilla
Municipi;250962;Fuliola, la
Municipi;251095;Guimerà
Municipi;251305;Maldà
Municipi;251459;Nalec
Municipi;251543;Omells de na Gaia, els
Municipi;251575;Ossó de Sió
Municipi;251765;Preixana
Municipi;251811;Puigverd d'Agramunt
Municipi;252173;Tàrrega
Municipi;252252;Tornabous
Municipi;252385;Vallbona de les Monges
Municipi;252424;Verdú
Municipi;252445;Vilagrassa
Municipi;259025;Sant Martí de Riucorb
Ent. terr. sing.;39;Aran
Municipi;250254;Naut Aran
Municipi;250313;Arres
Municipi;250450;Bausen
Municipi;250576;Bòrdes, Es
Municipi;250595;Bossòst
Municipi;250637;Canejan
Municipi;251214;Les
Municipi;252430;Vielha e Mijaran
Municipi;252477;Vilamòs
Comarca;40;Vallès Occidental
Municipi;80517;Castellar del Vallès
Municipi;80543;Castellbisbal
Municipi;80879;Gallifa
Municipi;81206;Matadepera
Municipi;81252;Montcada i Reixac
Municipi;81568;Palau-solità i Plegamans
Municipi;81672;Polinyà
Municipi;81799;Rellinars
Municipi;81803;Ripollet
Municipi;81846;Rubí
Municipi;81878;Sabadell
Municipi;82055;Sant Cugat del Vallès
Municipi;82233;Sant Llorenç Savall
Municipi;82384;Sant Quirze del Vallès
Municipi;82520;Barberà del Vallès
Municipi;82606;Santa Perpètua de Mogoda
Municipi;82665;Cerdanyola del Vallès
Municipi;82671;Sentmenat
Municipi;82798;Terrassa
Municipi;82900;Ullastrell
Municipi;82917;Vacarisses
Municipi;83008;Viladecavalls
Municipi;89045;Badia del Vallès
Comarca;41;Vallès Oriental
Municipi;80057;Ametlla del Vallès, l'
Municipi;80142;Aiguafreda
Municipi;80235;Bigues i Riells del Fai
Municipi;80333;Caldes de Montbui
Municipi;80399;Campins
Municipi;80410;Canovelles
Municipi;80425;Cànoves i Samalús
Municipi;80462;Cardedeu
Municipi;80811;Fogars de Montclús
Municipi;80863;Franqueses del Vallès, les
Municipi;80885;Garriga, la
Municipi;80961;Granollers
Municipi;80977;Gualba
Municipi;81056;Llagosta, la
Municipi;81069;Llinars del Vallès
Municipi;81075;Lliçà d'Amunt
Municipi;81081;Lliçà de Vall
Municipi;81154;Martorelles
Municipi;81249;Mollet del Vallès
Municipi;81347;Figaró-Montmany
Municipi;81350;Montmeló
Municipi;81363;Montornès del Vallès
Municipi;81379;Montseny
Municipi;81593;Parets del Vallès
Municipi;81810;Roca del Vallès, la
Municipi;81982;Sant Antoni de Vilamajor
Municipi;82021;Sant Celoni
Municipi;82074;Sant Esteve de Palautordera
Municipi;82093;Sant Fost de Campsentelles
Municipi;82107;Sant Feliu de Codines
Municipi;82346;Sant Pere de Vilamajor
Municipi;82482;Santa Eulàlia de Ronçana
Municipi;82567;Santa Maria de Martorelles
Municipi;82592;Santa Maria de Palautordera
Municipi;82763;Tagamanent
Municipi;82943;Vallgorguina
Municipi;82969;Vallromanes
Municipi;83067;Vilalba Sasserra
Municipi;89024;Vilanova del Vallès
Comarca;42;Moianès
Municipi;80348;Calders
Municipi;80556;Castellcir
Municipi;80641;Castellterçol
Municipi;80706;Collsuspina
Municipi;80790;Estany, l'
Municipi;80958;Granera
Municipi;81287;Monistrol de Calders
Municipi;81385;Moià
Municipi;82397;Sant Quirze Safaja
Municipi;82589;Santa Maria d'Oló
Comarca;43;Lluçanès
Municipi;80044;Alpens
Municipi;81094;Lluçà
Municipi;81496;Olost
Municipi;81516;Oristà
Municipi;81607;Perafita
Municipi;81712;Prats de Lluçanès
Municipi;82251;Sant Martí d'Albars
Municipi;82711;Sobremunt
